"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000080115.3","Mettl21b",0,1,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000030494.13","Rhpn2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027072.13","Prg3",0,0,0,0,0,0,0,0,0,0,3,0
"ENSMUSG00000073774.2","Kncn",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000023904.10","Hcfc1r1",68,74,134,39,56,97,35,176,110,86,104,35
"ENSMUSG00000108808.1","ENSMUSG00000108808.1",0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000022772.12","Senp5",37,39,43,8,27,18,18,48,42,51,43,23
"ENSMUSG00000003233.12","Dvl3",59,57,70,30,63,95,43,74,155,54,74,31
"ENSMUSG00000051390.10","Zbtb22",25,20,35,7,23,24,23,49,33,25,19,15
"ENSMUSG00000028124.15","Gclm",80,125,203,116,169,41,59,160,184,86,183,147
"ENSMUSG00000038665.15","Dgki",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107856.1","ENSMUSG00000107856.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026150.14","Mff",77,85,182,51,113,131,58,146,191,79,116,86
"ENSMUSG00000034157.12","Cipc",7,9,38,8,22,7,3,21,22,20,22,11
"ENSMUSG00000025428.15","Atp5a1",445,467,919,331,803,524,388,893,971,675,941,465
"ENSMUSG00000104889.1","ENSMUSG00000104889.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101860.4","Fam188b2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072599.3","Ear-ps2",0,0,1,0,0,0,0,0,1,0,1,0
"ENSMUSG00000058331.15","Zfp85",45,0,110,53,12,13,21,21,89,2,9,2
"ENSMUSG00000078380.1","Gm6096",0,1,0,0,0,0,0,1,0,0,0,1
"ENSMUSG00000065537.2","Mir132",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104206.1","RP23-445K23.7",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000015087.14","Rabl6",12,13,41,10,15,24,13,24,48,21,32,19
"ENSMUSG00000050921.12","P2ry10",6,6,2,1,1,12,1,1,7,0,6,3
"ENSMUSG00000049659.15","Aftph",185,298,355,109,197,332,144,296,262,183,200,84
"ENSMUSG00000031618.13","Nr3c2",0,0,0,0,0,0,0,0,1,2,0,0
"ENSMUSG00000026037.14","Orc2",9,20,26,46,19,15,5,40,31,22,32,19
"ENSMUSG00000031429.14","Psmd10",37,39,57,5,37,49,20,82,81,35,41,19
"ENSMUSG00000035559.9","Mpv17l2",5,12,21,11,11,6,4,19,24,20,29,20
"ENSMUSG00000109795.1","ENSMUSG00000109795.1",0,0,1,1,1,0,0,0,0,0,0,0
"ENSMUSG00000038702.6","Dsel",4,4,2,3,1,7,1,8,6,8,1,0
"ENSMUSG00000056370.15","Sftpb",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004561.14","Mettl17",17,10,25,9,9,30,7,20,28,14,21,5
"ENSMUSG00000063715.2","Olfr816",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031360.14","Ctps2",14,25,53,14,14,21,11,49,40,17,25,6
"ENSMUSG00000100337.1","Gm5066",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082820.3","Gm13803",0,3,10,1,7,5,4,8,12,4,5,4
"ENSMUSG00000022514.14","Il1rap",44,25,22,48,38,25,24,64,35,43,31,37
"ENSMUSG00000022184.8","Fbxo4",10,16,20,9,30,11,3,33,16,12,18,6
"ENSMUSG00000104687.1","ENSMUSG00000104687.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046410.10","Kcnk6",42,30,69,22,38,34,28,61,56,45,38,17
"ENSMUSG00000014077.13","Chp1",101,104,175,54,102,83,53,156,136,115,135,57
"ENSMUSG00000031886.14","Ces2e",0,0,6,0,0,0,3,0,1,0,0,0
"ENSMUSG00000037808.13","Fam76b",101,105,198,30,130,77,67,101,203,134,76,85
