"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000101987.1","Gm21268",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090462.7","1700091H14Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114204.1","ENSMUSG00000114204.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109174.1","ENSMUSG00000109174.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114861.1","ENSMUSG00000114861.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080938.1","Gm6062",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090436.2","Vmn2r75",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028938.9","Galntl5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103503.1","RP23-429I18.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108630.1","ENSMUSG00000108630.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049843.6","Olfr1102",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082612.1","4930503H13Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114157.1","ENSMUSG00000114157.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059206.4","Vmn1r71",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084157.2","Gm15576",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053783.5","1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048655.17","Ccdc169",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055571.4","Olfr305",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100684.1","Gm20268",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109098.1","ENSMUSG00000109098.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081161.1","Gm12783",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083976.1","Gm13664",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104011.1","RP24-272N10.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096457.7","Gm10147",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089964.1","Gm16582",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101403.1","Gm20882",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073568.2","Arl14epl",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026224.11","4933407L21Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111802.1","ENSMUSG00000111802.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073926.4","Olfr653",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105598.1","ENSMUSG00000105598.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112197.1","ENSMUSG00000112197.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109375.1","ENSMUSG00000109375.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066688.4","Gm13083",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081432.1","Gm12593",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083238.1","Hspe1-ps4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109917.1","ENSMUSG00000109917.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116442.1","ENSMUSG00000116442.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081538.1","Rps13-ps8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101656.1","Gm8004",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082144.1","Gm12788",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110283.1","ENSMUSG00000110283.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073844.5","Gm21957",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117675.1","ENSMUSG00000117675.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108355.1","ENSMUSG00000108355.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105887.1","ENSMUSG00000105887.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043463.6","Rab9b",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027895.10","Kcnc4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058590.2","Gm6462",0,0,0,0,0,0,0,0,0,0,0,0
