"Gene ID","name","HRT D4 P1","HRT D4 P2","HRT D4 P3","HRT D4 T1","HRT D4 T2","HRT D4 T3","HRT D7 P4","HRT D7 P5","HRT D7 P6","HRT D7 T1","HRT D7 T3","HRT D7 T4"
"ENSMUSG00000020706.13","Ftsj3",24,23,11,23,25,7,37,16,39,14,25,17
"ENSMUSG00000093178.1","Snord87",0,2,1,0,0,0,0,0,2,0,1,0
"ENSMUSG00000040721.9","Zfhx2",0,3,2,10,9,0,2,9,1,9,2,0
"ENSMUSG00000051022.7","Hs3st1",0,3,0,0,1,0,0,0,2,0,0,7
"ENSMUSG00000013465.19","Nelfb",55,27,14,48,14,12,43,20,58,45,46,16
"ENSMUSG00000111788.1","ENSMUSG00000111788.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030279.15","C2cd5",7,10,18,21,13,10,28,10,36,18,15,4
"ENSMUSG00000023330.12","Dtwd1",40,29,13,38,20,10,20,19,57,57,21,11
"ENSMUSG00000040151.9","Hs2st1",72,37,36,74,34,35,59,41,55,47,30,35
"ENSMUSG00000093988.1","Gm24861",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000005583.16","Mef2c",124,150,72,374,130,40,260,256,307,315,203,129
"ENSMUSG00000002227.15","Mov10",14,36,22,37,20,7,24,24,38,15,19,15
"ENSMUSG00000001482.15","Def8",12,18,8,36,25,6,32,11,44,29,13,9
"ENSMUSG00000068587.10","Mgam",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051341.6","Zfp52",10,7,10,23,16,4,4,5,17,2,11,3
"ENSMUSG00000015880.13","Ncapg",33,33,28,37,23,25,11,12,26,4,4,2
"ENSMUSG00000076749.2","Tcrg-C1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081016.1","Olfr1397-ps1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099464.1","Gm5260",0,7,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081096.2","Gm12691",0,2,1,6,0,1,4,5,1,0,3,3
